Date,Sentiment,Stock Return
2017-11-17,1,21.711332
2017-11-28,0,21.090668
2017-11-30,0,20.570667
2017-12-08,0,20.973333
2017-12-11,0,20.975332
2017-12-12,0,22.030001
2017-12-13,1,22.728666
2017-12-14,0,22.733999
2017-12-19,0,22.684
2017-12-20,1,22.179333
2017-12-21,0,21.972668
2017-12-26,1,21.588667
2018-01-03,0,21.4
2018-01-05,0,21.108
2018-01-08,0,21.066668
2018-01-24,0,23.638666
2018-01-29,0,22.656668
2018-01-31,0,23.167334
2018-02-01,1,23.4
2018-02-02,1,23.229334
2018-02-05,0,22.531334
2018-02-06,0,21.680668
2018-02-07,0,22.599333
2018-02-22,0,22.368668
2018-02-27,0,23.75
2018-03-05,0,22.159332
2018-03-07,0,21.695999
2018-03-08,0,22.190666
2018-03-09,0,21.606667
2018-03-14,0,22.450666
2018-03-19,0,21.1
2018-03-20,0,20.991333
2018-03-21,0,20.683332
2018-03-22,0,20.926001
2018-03-23,0,20.75
2018-03-26,0,20.489332
2018-03-27,0,20.266666
2018-03-28,0,17.638666
2018-04-04,0,16.851999
2018-04-05,0,19.289333
2018-04-06,0,20.066668
2018-04-09,0,20.024668
2018-04-17,0,19.257999
2018-04-18,1,19.405333
2018-04-25,1,18.9
2018-04-26,0,18.583332
2018-04-30,0,19.573999
2018-05-02,0,19.904667
2018-05-03,0,18.586
2018-05-04,0,18.866667
2018-05-07,0,19.833332
2018-05-09,0,20.027332
2018-05-10,0,20.5
2018-05-11,0,20.513332
2018-05-14,0,20.221333
2018-05-16,0,18.922001
2018-05-17,0,19.059999
2018-05-18,0,18.976667
2018-05-21,0,18.755333
2018-05-22,0,19.184
2018-05-23,0,18.517332
2018-05-24,0,18.559999
2018-05-25,0,18.508667
2018-05-29,0,18.567333
2018-05-30,0,18.886
2018-05-31,0,19.147333
2018-06-01,0,19.057333
2018-06-04,0,19.622667
2018-06-07,0,21.076668
2018-06-08,0,21.266666
2018-06-12,0,22.98
2018-06-15,0,23.589333
2018-06-19,0,24.344
2018-06-21,0,24.133333
2018-06-25,0,22.007999
2018-06-26,0,22.403334
2018-06-27,0,23.0
2018-06-28,0,23.243999
2018-06-29,0,23.555332
2018-07-03,0,22.116667
2018-07-05,0,20.917334
2018-07-09,1,20.799334
2018-07-11,0,21.053333
2018-07-12,0,21.428667
