Date,Sentiment,Stock Return
2017-11-17,9279.0,21.711332
2017-11-28,4427.0,21.090668
2017-11-30,869.0,20.570667
2017-12-08,1457.0,20.973333
2017-12-11,1762.0,20.975332
2017-12-12,1247.0,22.030001
2017-12-13,5334.0,22.728666
2017-12-14,1053.0,22.733999
2017-12-19,4229.0,22.684
2017-12-20,5772.0,22.179333
2017-12-21,4012.0,21.972668
2017-12-26,5527.0,21.588667
2018-01-03,1996.0,21.4
2018-01-05,4547.0,21.108
2018-01-08,997.0,21.066668
2018-01-24,4367.0,23.638666
2018-01-29,5050.0,22.656668
2018-01-31,1525.0,23.167334
2018-02-01,5531.0,23.4
2018-02-02,8832.0,23.229334
2018-02-05,2164.0,22.531334
2018-02-06,3469.0,21.680668
2018-02-07,5920.0,22.599333
2018-02-22,1857.0,22.368668
2018-02-27,2459.0,23.75
2018-03-05,3589.0,22.159332
2018-03-07,3768.0,21.695999
2018-03-08,4424.0,22.190666
2018-03-09,2796.0,21.606667
2018-03-14,2424.0,22.450666
2018-03-19,542.0,21.1
2018-03-20,310.0,20.991333
2018-03-21,142.0,20.683332
2018-03-22,1098.0,20.926001
2018-03-23,783.0,20.75
2018-03-26,3623.0,20.489332
2018-03-27,3731.0,20.266666
2018-03-28,2377.0,17.638666
2018-04-04,1509.0,16.851999
2018-04-05,508.0,19.289333
2018-04-06,2873.0,20.066668
2018-04-09,821.0,20.024668
2018-04-17,615.0,19.257999
2018-04-18,6356.0,19.405333
2018-04-25,9201.0,18.9
2018-04-26,1367.0,18.583332
2018-04-30,2115.0,19.573999
2018-05-02,1181.0,19.904667
2018-05-03,215.0,18.586
2018-05-04,2173.0,18.866667
2018-05-07,589.0,19.833332
2018-05-09,671.0,20.027332
2018-05-10,435.0,20.5
2018-05-11,1042.0,20.513332
2018-05-14,4053.0,20.221333
2018-05-16,1038.0,18.922001
2018-05-17,958.0,19.059999
2018-05-18,1149.0,18.976667
2018-05-21,1444.0,18.755333
2018-05-22,3894.0,19.184
2018-05-23,3704.0,18.517332
2018-05-24,2245.0,18.559999
2018-05-25,1075.0,18.508667
2018-05-29,3000.0,18.567333
2018-05-30,278.0,18.886
2018-05-31,2218.0,19.147333
2018-06-01,1478.0,19.057333
2018-06-04,1161.0,19.622667
2018-06-07,447.0,21.076668
2018-06-08,2914.0,21.266666
2018-06-12,3692.0,22.98
2018-06-15,4243.0,23.589333
2018-06-19,376.0,24.344
2018-06-21,1958.0,24.133333
2018-06-25,2351.0,22.007999
2018-06-26,2871.0,22.403334
2018-06-27,241.0,23.0
2018-06-28,1539.0,23.243999
2018-06-29,1277.0,23.555332
2018-07-03,882.0,22.116667
2018-07-05,1187.0,20.917334
2018-07-09,8466.0,20.799334
2018-07-11,1474.0,21.053333
2018-07-12,1329.0,21.428667
2018-07-13,271.0,21.038668
2018-07-18,894.0,21.666668
2018-07-23,379.0,20.122667
2018-07-25,434.0,19.782667
2018-07-26,1079.0,20.323334
2018-07-30,1191.0,19.726667
2018-07-31,821.0,19.483334
2018-08-01,1956.0,19.865999
2018-08-07,3580.0,22.922667
2018-08-08,306.0,24.606001
2018-08-16,2440.0,22.660667
2018-08-21,962.0,20.707333
2018-08-23,1874.0,21.275999
2018-08-24,2510.0,21.379999
2018-09-05,4693.0,19.003332
2018-09-06,439.0,18.986668
2018-09-07,2991.0,17.34
2018-09-11,1333.0,18.631332
2018-09-12,1560.0,18.762667
2018-09-13,731.0,19.201332
2018-09-14,3271.0,19.250668
2018-09-17,3063.0,19.336
2018-09-18,3801.0,19.779333
2018-09-19,1270.0,18.700666
2018-09-20,847.0,20.237333
2018-09-21,5602.0,19.846666
2018-09-25,3073.0,20.0
2018-09-28,3178.0,18.017332
2018-10-01,1277.0,20.384666
2018-10-04,1870.0,19.596666
2018-10-05,806.0,18.309999
2018-10-08,4026.0,17.634666
2018-10-09,1492.0,17.016666
2018-10-10,1806.0,17.640667
2018-10-12,4575.0,17.4
2018-10-15,1229.0,17.270666
2018-10-16,576.0,17.713333
2018-10-17,1464.0,18.826668
2018-10-18,2113.0,17.952667
2018-10-19,9940.0,17.826
2018-10-22,5087.0,17.378668
2018-10-23,3523.0,17.591333
2018-10-25,5888.0,21.148001
2018-10-26,2366.0,20.549999
2018-10-29,5273.0,22.497999
2018-10-31,727.0,22.169333
2018-11-01,2330.0,22.550667
2018-11-02,3649.0,22.916
2018-11-06,4437.0,22.604668
2018-11-07,3444.0,22.889334
2018-11-09,3013.0,23.266666
2018-11-14,2136.0,22.846666
2018-11-15,1837.0,22.822001
2018-11-16,1290.0,23.012667
2018-11-19,828.0,23.756001
2018-11-20,2403.0,22.783333
2018-11-21,1543.0,23.466667
2018-11-23,1642.0,22.290001
2018-11-26,3199.0,21.666668
2018-11-28,1784.0,23.066
2018-11-29,2344.0,23.133333
2018-12-03,2031.0,24.0
2018-12-07,3383.0,24.6
2018-12-11,1432.0,24.660667
2018-12-14,8600.0,25.0
2018-12-18,1462.0,23.369333
2018-12-19,2337.0,22.506666
2018-12-20,896.0,21.803333
2018-12-21,5080.0,21.16
2018-12-24,4667.0,20.9
2018-12-26,647.0,20.0
2018-12-28,2059.0,21.540001
2018-12-31,194.0,22.519333
