Date,Sentiment,Stock Return
2017-11-17,10.0,21.711332
2017-11-28,5.0,21.090668
2017-11-30,1.0,20.570667
2017-12-08,2.0,20.973333
2017-12-11,2.0,20.975332
2017-12-12,2.0,22.030001
2017-12-13,6.0,22.728666
2017-12-14,2.0,22.733999
2017-12-19,5.0,22.684
2017-12-20,6.0,22.179333
2017-12-21,4.0,21.972668
2017-12-26,6.0,21.588667
2018-01-03,2.0,21.4
2018-01-05,5.0,21.108
2018-01-08,1.0,21.066668
2018-01-24,5.0,23.638666
2018-01-29,6.0,22.656668
2018-01-31,2.0,23.167334
2018-02-01,6.0,23.4
2018-02-02,9.0,23.229334
2018-02-05,3.0,22.531334
2018-02-06,4.0,21.680668
2018-02-07,6.0,22.599333
2018-02-22,2.0,22.368668
2018-02-27,3.0,23.75
2018-03-05,4.0,22.159332
2018-03-07,4.0,21.695999
2018-03-08,5.0,22.190666
2018-03-09,4.0,21.606667
2018-03-14,3.0,22.450666
2018-03-19,1.0,21.1
2018-03-20,1.0,20.991333
2018-03-21,1.0,20.683332
2018-03-22,2.0,20.926001
2018-03-23,1.0,20.75
2018-03-26,4.0,20.489332
2018-03-27,4.0,20.266666
2018-03-28,3.0,17.638666
2018-04-04,2.0,16.851999
2018-04-05,1.0,19.289333
2018-04-06,3.0,20.066668
2018-04-09,1.0,20.024668
2018-04-17,1.0,19.257999
2018-04-18,7.0,19.405333
2018-04-25,10.0,18.9
2018-04-26,2.0,18.583332
2018-04-30,3.0,19.573999
2018-05-02,2.0,19.904667
2018-05-03,1.0,18.586
2018-05-04,2.0,18.866667
2018-05-07,1.0,19.833332
2018-05-09,1.0,20.027332
2018-05-10,1.0,20.5
2018-05-11,2.0,20.513332
2018-05-14,4.0,20.221333
2018-05-16,2.0,18.922001
2018-05-17,2.0,19.059999
2018-05-18,2.0,18.976667
2018-05-21,2.0,18.755333
2018-05-22,4.0,19.184
2018-05-23,4.0,18.517332
2018-05-24,3.0,18.559999
2018-05-25,2.0,18.508667
2018-05-29,3.0,18.567333
2018-05-30,1.0,18.886
2018-05-31,3.0,19.147333
2018-06-01,2.0,19.057333
2018-06-04,2.0,19.622667
2018-06-07,1.0,21.076668
2018-06-08,3.0,21.266666
2018-06-12,4.0,22.98
2018-06-15,5.0,23.589333
2018-06-19,1.0,24.344
