User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Cindy McKennis,@CindyMckennis,2022-11-20T23:39:54.000Z,"Cindy McKennis
@CindyMckennis
·
1sElon Musk is my god",,,
crypto baby,@crypto_baby7,2022-11-20T23:39:54.000Z,"crypto baby
@crypto_baby7
·
1s@elonmusk
 check out 
@tamadogecoin
-The Next 100x Meme Coin  https://tamadoge.io/win-100k/ #Tamadoge
tamadoge.io
Win 100k of TAMA - Best meme play to earn platform 2022
Win $100k worth of tama by entering our competition now! Increase your chances by sharing with your friends.",,,
DEA Watch,@WatchDea,2022-11-20T23:39:54.000Z,"DEA Watch
@WatchDea
·
1sReplying to 
@elonmusk
Now that Trump has access to Twitter to continue spreading lies about the 2020 election, can any member or family member of LE sue Musk if Trump again uses Twitter to incite another violent insurrection that leaves a member of LE injured or dead? http://deawatch.com",,,
Joeybaggadonuzz™ VOTED VLUE,@joeybaggadonuzz,2022-11-20T23:39:54.000Z,"Joeybaggadonuzz™ VOTED VLUE
@joeybaggadonuzz
·
1sReplying to 
@RichardGrenell
 @realDonaldTrump
 and 2 others
LMFAO at you sycophant! ",,,
SAINT MATTHEW,@Tribe9Matt,2022-11-20T23:39:54.000Z,"SAINT MATTHEW
@Tribe9Matt
·
1sReplying to 
@GODsNOTnggs
 

@elonmusk
 if you really about freedom of speech ; not reach give his page back ",,,
JimmyX,@JimmyX8230,2022-11-20T23:39:54.000Z,"JimmyX
@JimmyX8230
·
1sReplying to 
@ChrisX53018598
 @elonmusk
 and 2 others
And, the absolute worst of the worst, NPR.",,,
James,@mildyannoyedman,2022-11-20T23:39:53.000Z,"James
@mildyannoyedman
·
2sReplying to 
@absofsteel6969
 @JohnSmi25065999
 and 4 others
You know what I meant! Now don’t ruin my gag ",,,
Nancy j,@Nancyj66074258,2022-11-20T23:39:53.000Z,"Nancy j
@Nancyj66074258
·
2sReplying to 
@alx
 and 
@elonmusk
It's not free speech only what they want to hear you say something different in your blocked or they want you to delete it it's not free speech",,,
DunnMan,@DunnMan77,2022-11-20T23:39:53.000Z,"DunnMan
@DunnMan77
·
2sReplying to 
@RepMTG
 @laralogan
 and 
@elonmusk
Oh hey look, the dogshit on the bottom of the shoe from the Republican Party has something to say.",,,
Sarge15,@zzzzski,2022-11-20T23:39:53.000Z,"Sarge15
@zzzzski
·
2sReplying to 
@PippinResists
 @alx
 and 
@elonmusk",,,
